Unnamed: 0,Date,Latitude,Longitude,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,ResultSpeed,ResultDir,AvgSpeed,SeaLevel
556,2007-07-19,41.862292,-87.64886,2,0,82.0,63.0,73.0,62.0,66.0,0.0,8.0,0.01,29.26,7.7,36.0,14.4,29.88
558,2007-07-19,41.994469,-87.667736,1,0,83.0,63.0,73.0,63.0,66.0,0.0,8.0,0.16,29.21,7.0,1.0,11.9,29.9
601,2007-07-25,41.673408,-87.599862,50,0,83.0,70.0,77.0,60.0,66.0,0.0,12.0,0.0,29.35,6.4,23.0,7.0,29.99
603,2007-07-25,41.673408,-87.599862,50,1,83.0,70.0,77.0,60.0,66.0,0.0,12.0,0.0,29.35,6.4,23.0,7.0,29.99
693,2007-07-27,41.95469,-87.800991,23,0,83.0,70.0,77.0,68.0,70.0,0.0,12.0,0.17,29.11,3.0,3.0,7.9,29.82
700,2007-07-27,41.9216,-87.666455,5,0,83.0,70.0,77.0,67.0,70.0,0.0,12.0,0.04,29.16,1.2,36.0,8.1,29.8
776,2007-08-01,41.95469,-87.800991,33,0,92.0,69.0,81.0,62.0,69.0,0.0,16.0,0.0,29.29,3.5,9.0,4.1,30.0
777,2007-08-01,41.95469,-87.800991,50,1,92.0,69.0,81.0,62.0,69.0,0.0,16.0,0.0,29.29,3.5,9.0,4.1,30.0
787,2007-08-01,41.9216,-87.666455,11,0,91.0,69.0,80.0,63.0,70.0,0.0,15.0,0.0,29.34,2.1,13.0,3.7,29.98
812,2007-08-01,41.688324,-87.676709,33,1,91.0,69.0,80.0,63.0,70.0,0.0,15.0,0.0,29.34,2.1,13.0,3.7,29.98
1327,2007-08-02,41.688324,-87.676709,27,0,91.0,73.0,82.0,66.0,72.0,0.0,17.0,0.0,29.31,6.5,23.0,7.2,29.95
1332,2007-08-02,41.731922,-87.677512,9,1,91.0,73.0,82.0,66.0,72.0,0.0,17.0,0.0,29.31,6.5,23.0,7.2,29.95
1464,2007-08-03,41.686398,-87.531635,50,0,88.0,73.0,81.0,58.0,67.0,0.0,16.0,0.0,29.36,3.3,6.0,5.8,30.0
1469,2007-08-07,41.95469,-87.800991,13,0,91.0,72.0,82.0,73.0,76.0,0.0,17.0,1.31,29.06,6.2,25.0,9.0,29.76
1476,2007-08-07,41.974089,-87.824812,26,1,91.0,72.0,82.0,73.0,76.0,0.0,17.0,1.31,29.06,6.2,25.0,9.0,29.76
1477,2007-08-07,41.9216,-87.666455,20,0,92.0,73.0,83.0,73.0,76.0,0.0,18.0,0.06,29.11,6.3,24.0,8.8,29.74
1561,2007-08-07,41.725517,-87.614258,7,1,92.0,73.0,83.0,73.0,76.0,0.0,18.0,0.06,29.11,6.3,24.0,8.8,29.74
1653,2007-08-08,41.673408,-87.599862,30,1,87.0,74.0,81.0,72.0,74.0,0.0,16.0,0.09,29.18,1.5,4.0,6.4,29.81
1654,2007-08-08,41.673408,-87.599862,50,0,87.0,74.0,81.0,72.0,74.0,0.0,16.0,0.09,29.18,1.5,4.0,6.4,29.81
1746,2007-08-09,41.923738,-87.785288,8,0,84.0,72.0,78.0,71.0,73.0,0.0,13.0,0.05,29.13,2.5,29.0,6.0,29.84
1749,2007-08-09,41.726465,-87.585413,25,0,85.0,73.0,79.0,71.0,73.0,0.0,14.0,0.46,29.19,3.1,27.0,6.3,29.82
1763,2007-08-09,41.740641,-87.546587,41,1,85.0,73.0,79.0,71.0,73.0,0.0,14.0,0.46,29.19,3.1,27.0,6.3,29.82
1772,2007-08-15,41.95469,-87.800991,41,1,80.0,71.0,76.0,67.0,70.0,0.0,11.0,0.23,29.17,3.4,7.0,5.8,29.89
1773,2007-08-15,41.95469,-87.800991,3,0,80.0,71.0,76.0,67.0,70.0,0.0,11.0,0.23,29.17,3.4,7.0,5.8,29.89
1780,2007-08-15,41.9216,-87.666455,17,0,81.0,72.0,77.0,69.0,71.0,0.0,12.0,0.83,29.23,4.9,6.0,7.1,29.87
1781,2007-08-15,41.9216,-87.666455,42,1,81.0,72.0,77.0,69.0,71.0,0.0,12.0,0.83,29.23,4.9,6.0,7.1,29.87
2048,2007-08-16,41.673408,-87.599862,10,0,77.0,67.0,72.0,65.0,68.0,0.0,7.0,0.0,29.33,3.5,1.0,5.7,29.95
2050,2007-08-16,41.673408,-87.599862,44,1,77.0,67.0,72.0,65.0,68.0,0.0,7.0,0.0,29.33,3.5,1.0,5.7,29.95
2141,2007-08-17,41.726465,-87.585413,50,0,80.0,65.0,73.0,54.0,62.0,0.0,8.0,0.0,29.46,6.1,31.0,7.4,30.08
2153,2007-08-17,41.726465,-87.585413,43,1,80.0,65.0,73.0,54.0,62.0,0.0,8.0,0.0,29.46,6.1,31.0,7.4,30.08
2195,2007-08-21,41.95469,-87.800991,23,1,87.0,69.0,78.0,70.0,72.0,0.0,13.0,0.0,29.21,3.8,18.0,6.0,29.91
2196,2007-08-21,41.95469,-87.800991,46,0,87.0,69.0,78.0,70.0,72.0,0.0,13.0,0.0,29.21,3.8,18.0,6.0,29.91
2200,2007-08-21,41.9216,-87.666455,28,1,85.0,69.0,77.0,70.0,72.0,0.0,12.0,0.01,29.26,3.5,17.0,6.0,29.89
2202,2007-08-21,41.891118,-87.654491,1,0,85.0,69.0,77.0,70.0,72.0,0.0,12.0,0.01,29.26,3.5,17.0,6.0,29.89
2381,2007-08-22,41.688324,-87.676709,6,0,90.0,70.0,80.0,70.0,73.0,0.0,15.0,0.88,29.29,5.1,21.0,8.4,29.93
2384,2007-08-22,41.720848,-87.666014,28,1,90.0,70.0,80.0,70.0,73.0,0.0,15.0,0.88,29.29,5.1,21.0,8.4,29.93
2520,2007-08-24,41.95469,-87.800991,27,1,80.0,69.0,75.0,67.0,69.0,0.0,10.0,0.24,29.11,5.8,25.0,7.1,29.82
2521,2007-08-24,41.95469,-87.800991,35,0,80.0,69.0,75.0,67.0,69.0,0.0,10.0,0.24,29.11,5.8,25.0,7.1,29.82
2524,2007-08-24,41.9216,-87.666455,2,0,81.0,69.0,75.0,67.0,69.0,0.0,10.0,0.2,29.16,5.5,25.0,7.3,29.81
2539,2007-08-24,41.688324,-87.676709,49,1,81.0,69.0,75.0,67.0,69.0,0.0,10.0,0.2,29.16,5.5,25.0,7.3,29.81
2706,2007-08-28,41.673408,-87.599862,50,0,90.0,69.0,80.0,65.0,70.0,0.0,15.0,0.0,29.34,7.8,21.0,8.3,29.98
2710,2007-08-28,41.673408,-87.599862,50,1,90.0,69.0,80.0,65.0,70.0,0.0,15.0,0.0,29.34,7.8,21.0,8.3,29.98
2826,2007-09-04,41.95469,-87.800991,10,1,89.0,63.0,76.0,60.0,66.0,0.0,11.0,0.0,29.28,2.8,22.0,4.3,30.0
2828,2007-09-04,41.994991,-87.769279,4,0,89.0,63.0,76.0,60.0,66.0,0.0,11.0,0.0,29.28,2.8,22.0,4.3,30.0
2831,2007-09-04,41.9216,-87.666455,4,0,90.0,67.0,79.0,59.0,67.0,0.0,14.0,0.0,29.34,2.2,24.0,5.0,29.99
2899,2007-09-04,41.801179,-87.679447,13,1,90.0,67.0,79.0,59.0,67.0,0.0,14.0,0.0,29.34,2.2,24.0,5.0,29.99
2918,2007-09-05,41.688324,-87.676709,1,0,91.0,72.0,82.0,62.0,69.0,0.0,17.0,0.0,29.31,6.4,19.0,6.7,29.94
2920,2007-09-05,41.688324,-87.676709,13,1,91.0,72.0,82.0,62.0,69.0,0.0,17.0,0.0,29.31,6.4,19.0,6.7,29.94
3009,2007-09-06,41.673408,-87.599862,19,0,84.0,74.0,79.0,66.0,70.0,0.0,14.0,0.08,29.27,12.8,20.0,13.0,29.91
3039,2007-09-06,41.726465,-87.585413,50,1,84.0,74.0,79.0,66.0,70.0,0.0,14.0,0.08,29.27,12.8,20.0,13.0,29.91
3059,2007-09-12,41.95469,-87.800991,2,0,67.0,46.0,57.0,42.0,49.0,8.0,0.0,0.0,29.4,1.8,3.0,5.6,30.12
3060,2007-09-12,41.95469,-87.800991,6,1,67.0,46.0,57.0,42.0,49.0,8.0,0.0,0.0,29.4,1.8,3.0,5.6,30.12
3064,2007-09-12,41.867108,-87.654224,2,0,66.0,46.0,56.0,43.0,50.0,9.0,0.0,0.0,29.46,1.9,5.0,6.0,30.11
3142,2007-09-12,41.759346,-87.745602,16,1,66.0,46.0,56.0,43.0,50.0,9.0,0.0,0.0,29.46,1.9,5.0,6.0,30.11
3194,2007-09-18,41.95469,-87.800991,24,0,88.0,63.0,76.0,58.0,65.0,0.0,11.0,0.0,29.34,12.9,19.0,13.1,30.06
3199,2007-09-18,41.9216,-87.666455,6,0,89.0,66.0,78.0,57.0,65.0,0.0,13.0,0.0,29.41,12.5,19.0,12.8,30.05
3287,2007-09-19,41.688324,-87.676709,2,0,84.0,68.0,76.0,59.0,65.0,0.0,11.0,0.0,29.47,3.5,25.0,9.0,30.09
3305,2007-09-19,41.958271,-87.702575,2,0,84.0,65.0,75.0,59.0,65.0,0.0,10.0,0.0,29.41,5.0,26.0,9.7,30.11
3366,2007-09-19,41.673408,-87.599862,26,1,84.0,68.0,76.0,59.0,65.0,0.0,11.0,0.0,29.47,3.5,25.0,9.0,30.09
3410,2007-09-24,41.95469,-87.800991,33,0,90.0,68.0,79.0,63.0,68.0,0.0,14.0,0.0,29.27,11.4,19.0,11.9,29.99
3414,2007-09-24,41.867108,-87.654224,11,0,91.0,71.0,81.0,62.0,69.0,0.0,16.0,0.0,29.34,10.0,19.0,10.5,29.98
3551,2007-09-24,41.673408,-87.599862,50,1,91.0,71.0,81.0,62.0,69.0,0.0,16.0,0.0,29.34,10.0,19.0,10.5,29.98
3577,2007-09-25,41.673408,-87.599862,47,0,83.0,67.0,75.0,66.0,69.0,0.0,10.0,0.01,29.29,7.3,23.0,9.4,29.93
3600,2007-10-04,41.95469,-87.800991,29,0,82.0,51.0,67.0,56.0,61.0,0.0,2.0,0.0,29.34,3.9,17.0,4.6,30.04
3607,2007-10-04,41.9216,-87.666455,7,0,83.0,56.0,70.0,56.0,62.0,0.0,5.0,0.0,29.39,4.6,17.0,5.9,30.03
3733,2007-10-04,41.800737,-87.71188,12,1,83.0,56.0,70.0,56.0,62.0,0.0,5.0,0.0,29.39,4.6,17.0,5.9,30.03
3785,2007-10-09,41.673408,-87.599862,45,0,77.0,50.0,64.0,44.0,53.0,1.0,0.0,0.0,29.27,12.1,28.0,13.3,29.93
3808,2007-10-09,41.984809,-87.728492,1,0,76.0,49.0,63.0,44.0,53.0,2.0,0.0,0.0,29.21,11.5,28.0,12.8,29.94
3811,2009-05-28,41.95469,-87.800991,2,0,62.0,54.0,58.0,51.0,54.0,7.0,0.0,0.0,29.06,6.8,30.0,8.1,29.76
3812,2009-05-28,41.9216,-87.666455,1,0,64.0,55.0,60.0,51.0,54.0,5.0,0.0,0.0,29.11,6.8,29.0,8.3,29.75
3870,2009-06-02,41.95469,-87.800991,29,0,60.0,48.0,54.0,46.0,50.0,11.0,0.0,0.12,29.36,7.4,3.0,8.0,30.09
3871,2009-06-02,41.891118,-87.654491,1,0,61.0,50.0,56.0,47.0,51.0,9.0,0.0,0.06,29.42,8.3,3.0,9.2,30.07
3963,2009-06-03,41.974689,-87.890615,22,0,61.0,43.0,52.0,39.0,46.0,13.0,0.0,0.0,29.42,10.5,4.0,10.7,30.15
3977,2009-06-05,41.95469,-87.800991,1,0,79.0,44.0,62.0,44.0,54.0,3.0,0.0,0.0,29.18,5.8,26.0,6.7,29.91
3979,2009-06-05,41.891118,-87.654491,1,0,80.0,47.0,64.0,43.0,54.0,1.0,0.0,0.0,29.23,6.3,25.0,7.2,29.91
4054,2009-06-12,41.95469,-87.800991,5,0,74.0,49.0,62.0,49.0,55.0,3.0,0.0,0.0,29.24,4.4,7.0,5.8,29.95
4057,2009-06-12,41.891118,-87.654491,8,0,72.0,50.0,61.0,49.0,55.0,4.0,0.0,0.0,29.3,5.0,6.0,6.7,29.95
4147,2009-06-15,41.921965,-87.632085,49,0,81.0,57.0,69.0,49.0,58.0,0.0,4.0,0.0,29.34,7.4,9.0,7.7,29.99
4149,2009-06-15,42.01743,-87.687769,1,0,81.0,53.0,67.0,49.0,58.0,0.0,2.0,0.0,29.28,5.5,9.0,6.4,30.01
4179,2009-06-19,41.95469,-87.800991,22,0,86.0,65.0,76.0,67.0,69.0,0.0,11.0,3.97,28.97,7.2,18.0,11.6,29.7
4181,2009-06-19,41.867108,-87.654224,6,0,88.0,66.0,77.0,68.0,70.0,0.0,12.0,0.87,29.03,6.3,18.0,10.5,29.68
4272,2009-06-22,41.867108,-87.654224,19,0,89.0,70.0,80.0,67.0,71.0,0.0,15.0,0.06,29.15,5.3,12.0,7.2,29.77
4274,2009-06-22,41.974689,-87.890615,23,0,89.0,68.0,79.0,67.0,71.0,0.0,14.0,0.09,29.09,4.0,11.0,5.6,29.79
4324,2009-06-26,41.95469,-87.800991,12,0,86.0,69.0,78.0,60.0,65.86224489795919,0.0,13.0,0.0,29.0,6.4,4.0,8.2,29.85
4329,2009-06-26,41.891118,-87.654491,13,0,86.0,72.0,79.0,61.0,67.0,0.0,14.0,0.0,29.2,6.4,4.0,8.0,29.83
4417,2009-06-29,41.726465,-87.585413,7,0,78.0,65.0,72.0,54.0,61.0,0.0,7.0,0.0,28.95,13.4,30.0,14.1,29.59
4424,2009-06-29,41.974689,-87.890615,50,0,77.0,63.0,70.0,54.0,61.0,0.0,5.0,0.0,28.89,12.2,30.0,12.7,29.6
4448,2009-07-06,41.95469,-87.800991,3,0,86.0,60.0,73.0,54.0,62.0,0.0,8.0,0.0,29.14,7.5,31.0,7.8,29.86
4451,2009-07-06,41.891118,-87.654491,3,0,85.0,63.0,74.0,54.0,63.0,0.0,9.0,0.0,29.2,4.2,30.0,5.5,29.84
4560,2009-07-10,41.95469,-87.800991,29,0,82.0,63.0,73.0,64.0,67.0,0.0,8.0,0.08,29.34,4.4,21.0,4.9,30.06
4565,2009-07-10,41.867108,-87.654224,41,0,84.0,67.0,76.0,65.0,68.0,0.0,11.0,0.12,29.41,3.6,21.0,4.6,30.04
4653,2009-07-13,41.720848,-87.666014,34,0,78.0,66.0,72.0,48.0,59.0,0.0,7.0,0.0,29.41,5.8,7.0,7.4,30.05
4707,2009-07-13,41.974689,-87.890615,10,0,79.0,61.0,70.0,46.0,57.0,0.0,5.0,0.0,29.36,4.8,7.0,5.8,30.07
4724,2009-07-17,41.95469,-87.800991,46,0,70.0,57.0,64.0,51.0,56.0,1.0,0.0,0.0,29.15,10.6,30.0,10.8,29.87
4728,2009-07-17,41.891118,-87.654491,9,0,70.0,58.0,64.0,52.0,57.0,1.0,0.0,0.0,29.21,10.1,29.0,10.4,29.86
4888,2009-07-24,41.95469,-87.800991,50,0,83.0,61.0,72.0,59.0,64.0,0.0,7.0,0.14,29.08,8.9,23.0,9.8,29.83
4890,2009-07-24,41.95469,-87.800991,50,1,83.0,61.0,72.0,59.0,64.0,0.0,7.0,0.14,29.08,8.9,23.0,9.8,29.83
4895,2009-07-24,41.891118,-87.654491,1,0,83.0,62.0,73.0,60.0,65.0,0.0,8.0,0.19,29.14,8.7,23.0,9.6,29.82
4917,2009-07-24,41.801498,-87.763416,38,1,83.0,62.0,73.0,60.0,65.0,0.0,8.0,0.19,29.14,8.7,23.0,9.6,29.82
4981,2009-07-27,41.720848,-87.666014,12,0,84.0,66.0,75.0,61.0,67.0,0.0,10.0,0.03,29.21,9.2,23.0,9.6,29.85
5008,2009-07-27,41.704336,-87.703736,12,1,84.0,66.0,75.0,61.0,67.0,0.0,10.0,0.03,29.21,9.2,23.0,9.6,29.85
5031,2009-07-27,41.974689,-87.890615,36,0,84.0,64.0,74.0,61.0,66.0,0.0,9.0,0.02,29.13,9.3,23.0,10.1,29.86
5064,2009-07-31,41.95469,-87.800991,14,0,81.0,58.0,70.0,54.0,61.0,0.0,5.0,0.0,29.23,6.2,26.0,7.3,29.94
5067,2009-07-31,41.891118,-87.654491,4,0,82.0,62.0,72.0,55.0,62.0,0.0,7.0,0.0,29.29,5.9,27.0,6.7,29.92
5191,2009-07-31,41.743402,-87.731435,50,1,82.0,62.0,72.0,55.0,62.0,0.0,7.0,0.0,29.29,5.9,27.0,6.7,29.92
5203,2009-08-07,41.95469,-87.800991,12,0,74.0,64.0,69.0,59.0,63.0,0.0,4.0,0.33,29.36,7.3,15.0,7.8,30.09
5205,2009-08-07,41.891118,-87.654491,9,0,74.0,67.0,71.0,59.0,63.0,0.0,6.0,0.23,29.41,6.4,15.0,7.2,30.08
5334,2009-08-13,41.891118,-87.654491,3,0,86.0,63.0,75.0,55.0,63.0,0.0,10.0,0.0,29.44,2.0,16.0,4.0,30.09
5345,2009-08-13,42.01743,-87.687769,3,0,86.0,60.0,73.0,55.0,63.0,0.0,8.0,0.0,29.38,1.5,14.0,3.8,30.1
5352,2009-08-13,41.868077,-87.666901,29,1,86.0,63.0,75.0,55.0,63.0,0.0,10.0,0.0,29.44,2.0,16.0,4.0,30.09
5439,2009-08-25,41.95469,-87.800991,14,0,83.0,59.0,71.0,61.0,65.0,0.0,6.0,0.0,29.33,9.1,21.0,9.2,30.05
5441,2009-08-25,41.891118,-87.654491,3,0,82.0,61.0,72.0,61.0,65.0,0.0,7.0,0.0,29.39,8.3,21.0,8.6,30.04
5451,2009-08-25,41.944869,-87.832763,26,1,83.0,59.0,71.0,61.0,65.0,0.0,6.0,0.0,29.33,9.1,21.0,9.2,30.05
5486,2009-08-25,41.750498,-87.605294,1,1,82.0,61.0,72.0,61.0,65.0,0.0,7.0,0.0,29.39,8.3,21.0,8.6,30.04
5523,2009-08-27,41.896282,-87.655232,1,0,67.0,62.0,65.0,61.0,63.0,0.0,0.0,1.19,29.41,10.7,8.0,11.0,30.07
5526,2009-08-27,41.944869,-87.832763,2,0,67.0,61.0,64.0,60.0,61.0,1.0,0.0,0.95,29.36,9.1,7.0,9.7,30.08
5577,2009-09-03,41.891118,-87.654491,2,0,75.0,57.0,66.0,55.0,60.0,0.0,1.0,0.0,29.48,5.2,6.0,5.9,30.14
5582,2009-09-03,42.01743,-87.687769,1,0,75.0,56.0,66.0,54.0,59.0,0.0,1.0,0.0,29.42,4.7,5.0,6.0,30.16
5624,2009-09-03,41.974689,-87.890615,5,1,75.0,56.0,66.0,54.0,59.0,0.0,1.0,0.0,29.42,4.7,5.0,6.0,30.16
5632,2009-09-14,41.95469,-87.800991,6,0,84.0,58.0,71.0,55.0,61.0,0.0,6.0,0.0,29.34,0.1,33.0,2.1,30.07
5633,2009-09-14,41.891118,-87.654491,3,0,84.0,59.0,72.0,56.0,62.0,0.0,7.0,0.0,29.4,1.1,13.0,2.7,30.05
5661,2009-09-14,41.682587,-87.707973,9,1,84.0,59.0,72.0,56.0,62.0,0.0,7.0,0.0,29.4,1.1,13.0,2.7,30.05
5742,2009-09-14,41.951866,-87.725057,2,1,84.0,58.0,71.0,55.0,61.0,0.0,6.0,0.0,29.34,0.1,33.0,2.1,30.07
5743,2009-09-17,41.95469,-87.800991,4,0,72.0,50.0,61.0,52.0,56.0,4.0,0.0,0.0,29.45,3.4,5.0,4.2,30.18
5745,2009-09-17,41.891118,-87.654491,4,0,71.0,54.0,63.0,51.0,57.0,2.0,0.0,0.0,29.51,4.5,8.0,5.4,30.17
5870,2009-09-25,41.95469,-87.800991,27,0,70.0,60.0,65.0,57.0,60.0,0.0,0.0,0.16,29.39,5.4,11.0,7.3,30.12
5873,2009-09-25,41.891118,-87.654491,3,0,70.0,60.0,65.0,57.0,60.0,0.0,0.0,0.02,29.44,5.4,11.0,6.3,30.11
5921,2009-09-25,41.923738,-87.785288,1,1,70.0,60.0,65.0,57.0,60.0,0.0,0.0,0.16,29.39,5.4,11.0,7.3,30.12
5995,2009-10-01,41.891118,-87.654491,2,0,59.0,44.0,52.0,46.0,49.0,13.0,0.0,0.59,29.18,8.8,13.0,8.7,29.9
5999,2009-10-01,41.944869,-87.832763,2,0,59.0,41.0,50.0,46.0,49.0,15.0,0.0,0.89,29.13,9.1,13.0,9.5,29.9
6060,2013-06-07,41.95469,-87.800991,19,0,68.0,52.0,60.0,45.0,52.0,5.0,0.0,0.0,29.2,9.5,3.0,9.9,29.92
6061,2013-06-07,41.867108,-87.654224,2,0,68.0,54.0,61.0,44.0,52.0,4.0,0.0,0.0,29.26,8.8,2.0,9.2,29.92
6137,2013-06-14,41.95469,-87.800991,25,0,78.0,56.0,67.0,51.0,57.0,0.0,2.0,0.0,29.34,6.6,6.0,7.9,30.05
6145,2013-06-14,41.891118,-87.654491,1,0,76.0,57.0,67.0,50.0,57.0,0.0,2.0,0.0,29.4,6.0,5.0,7.8,30.04
6258,2013-06-21,41.95469,-87.800991,19,0,82.0,68.0,75.0,65.0,68.0,0.0,10.0,0.79,29.34,7.4,19.0,9.5,30.04
6259,2013-06-21,41.891118,-87.654491,1,0,85.0,70.0,78.0,63.0,67.0,0.0,13.0,0.11,29.39,7.6,19.0,9.6,30.04
6374,2013-06-27,41.95469,-87.800991,10,0,90.0,64.0,77.0,67.0,70.0,0.0,12.0,0.92,29.01,7.2,29.0,7.2,29.73
6376,2013-06-27,41.891118,-87.654491,5,0,91.0,66.0,79.0,65.0,69.0,0.0,14.0,0.59,29.08,6.1,29.0,6.8,29.71
6436,2013-06-28,41.720848,-87.666014,38,1,83.0,68.0,76.0,60.0,65.0,0.0,11.0,0.16,28.97,9.0,29.0,9.8,29.62
6437,2013-06-28,41.732984,-87.649642,5,0,83.0,68.0,76.0,60.0,65.0,0.0,11.0,0.16,28.97,9.0,29.0,9.8,29.62
6477,2013-06-28,41.974689,-87.890615,46,0,83.0,67.0,75.0,61.0,66.0,0.0,10.0,0.0,28.91,10.5,31.0,10.9,29.63
6496,2013-07-08,41.95469,-87.800991,11,0,86.0,70.0,78.0,71.0,74.0,0.0,13.0,0.5,29.24,7.8,23.0,8.4,29.95
6502,2013-07-08,41.891118,-87.654491,1,0,87.0,71.0,79.0,70.0,72.0,0.0,14.0,0.84,29.31,10.0,22.0,10.5,29.95
6615,2013-07-12,41.95469,-87.800991,50,0,83.0,58.0,71.0,53.0,61.0,0.0,6.0,0.0,29.38,4.0,8.0,4.8,30.1
6627,2013-07-12,41.891118,-87.654491,6,0,82.0,60.0,71.0,54.0,62.0,0.0,6.0,0.0,29.44,4.1,8.0,5.4,30.09
6637,2013-07-12,41.732984,-87.649642,27,1,82.0,60.0,71.0,54.0,62.0,0.0,6.0,0.0,29.44,4.1,8.0,5.4,30.09
6667,2013-07-12,42.008314,-87.777921,33,1,83.0,58.0,71.0,53.0,61.0,0.0,6.0,0.0,29.38,4.0,8.0,4.8,30.1
6797,2013-07-19,41.95469,-87.800991,34,0,96.0,71.0,84.0,70.0,75.0,0.0,19.0,0.58,29.1,13.3,25.0,14.0,29.83
6798,2013-07-19,41.891118,-87.654491,4,0,97.0,75.0,86.0,69.0,75.0,0.0,21.0,0.0,29.17,13.4,24.0,13.9,29.82
6800,2013-07-19,41.867108,-87.654224,37,1,97.0,75.0,86.0,69.0,75.0,0.0,21.0,0.0,29.17,13.4,24.0,13.9,29.82
6838,2013-07-19,41.964242,-87.757639,7,1,96.0,71.0,84.0,70.0,75.0,0.0,19.0,0.58,29.1,13.3,25.0,14.0,29.83
6979,2013-07-25,41.95469,-87.800991,3,0,81.0,57.0,69.0,54.0,61.0,0.0,4.0,0.0,29.33,4.1,23.0,5.1,30.05
6982,2013-07-25,41.891118,-87.654491,1,0,81.0,58.0,70.0,52.0,60.0,0.0,5.0,0.0,29.39,2.7,23.0,3.9,30.05
6990,2013-07-25,41.921965,-87.632085,3,1,81.0,58.0,70.0,52.0,60.0,0.0,5.0,0.0,29.39,2.7,23.0,3.9,30.05
7132,2013-08-01,41.95469,-87.800991,20,0,81.0,61.0,71.0,57.0,62.0,0.0,6.0,0.0,29.23,7.6,30.0,7.8,29.95
7135,2013-08-01,41.891118,-87.654491,13,0,82.0,61.0,72.0,54.0,62.0,0.0,7.0,0.0,29.29,6.2,29.0,7.1,29.95
7143,2013-08-01,41.720848,-87.666014,4,1,82.0,61.0,72.0,54.0,62.0,0.0,7.0,0.0,29.29,6.2,29.0,7.1,29.95
7179,2013-08-01,41.964242,-87.757639,35,1,81.0,61.0,71.0,57.0,62.0,0.0,6.0,0.0,29.23,7.6,30.0,7.8,29.95
7318,2013-08-08,41.95469,-87.800991,27,1,78.0,65.0,72.0,56.0,62.0,0.0,7.0,0.0,29.26,8.6,5.0,9.3,29.98
7319,2013-08-08,41.95469,-87.800991,50,0,78.0,65.0,72.0,56.0,62.0,0.0,7.0,0.0,29.26,8.6,5.0,9.3,29.98
7324,2013-08-08,41.891118,-87.654491,1,0,79.0,69.0,74.0,55.0,62.0,0.0,9.0,0.0,29.33,10.5,5.0,10.8,29.96
7346,2013-08-08,41.723195,-87.64997,4,1,79.0,69.0,74.0,55.0,62.0,0.0,9.0,0.0,29.33,10.5,5.0,10.8,29.96
7499,2013-08-15,41.95469,-87.800991,6,0,75.0,55.0,65.0,53.0,58.0,0.0,0.0,0.0,29.4,4.2,24.0,4.9,30.13
7502,2013-08-15,41.891118,-87.654491,10,0,74.0,57.0,66.0,50.0,58.0,0.0,1.0,0.0,29.47,4.5,22.0,5.0,30.13
